Date : 2023-12-05 15:18:24
Directory : d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil
Total : 93 files,  5905 codes, 428 comments, 684 blanks, all 7017 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\auth_service.dart                                              | Dart            |        218 |          9 |         33 |        260 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\chat_service.dart                                              | Dart            |         70 |          3 |          4 |         77 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\configuration_service.dart                                     | Dart            |        126 |          1 |         20 |        147 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\create_profile_screen.dart                                   | Dart            |        307 |          1 |         19 |        327 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\login_screen.dart                                            | Dart            |        183 |          1 |         13 |        197 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\register_screen.dart                                         | Dart            |        122 |          1 |          6 |        129 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\save_password_screen.dart                                    | Dart            |        194 |          1 |         10 |        205 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\auth\validate_email_screen.dart                                   | Dart            |        142 |          1 |          7 |        150 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\Contact.dart                                                 | Dart            |          9 |          0 |          3 |         12 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\ContactListItem.dart                                         | Dart            |         66 |          6 |          4 |         76 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\FriendSuggestion.dart                                        | Dart            |          6 |          0 |          2 |          8 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\FriendSuggestionItem.dart                                    | Dart            |         71 |          4 |          4 |         79 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\chat_bubble.dart                                             | Dart            |         50 |          1 |          5 |         56 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\chat_bubble_reply.dart                                       | Dart            |         30 |          1 |          5 |         36 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\chat_list.dart                                               | Dart            |        277 |         30 |         27 |        334 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\chat_list_item.dart                                          | Dart            |         72 |          1 |          5 |         78 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\chat\individual_chat.dart                                         | Dart            |        114 |          2 |          8 |        124 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\interfaces\Login.dart                                             | Dart            |         28 |          2 |          5 |         35 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\interfaces\dropdown_object.dart                                   | Dart            |          5 |          0 |          2 |          7 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\customer_content_screen.dart                              | Dart            |        119 |          3 |         12 |        134 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\interest_selection_screen.dart                            | Dart            |        131 |          5 |         13 |        149 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\language_selection_screen.dart                            | Dart            |        173 |          2 |         15 |        190 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\screens\nationalitity_screen.dart                                 | Dart            |        214 |         10 |         19 |        243 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\custom_button.dart                                        | Dart            |         41 |          1 |          4 |         46 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\custom_title.dart                                         | Dart            |         17 |          0 |          4 |         21 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\dropdown_button_options.dart                              | Dart            |         52 |          0 |          9 |         61 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\multi_select_tags.dart                                    | Dart            |         50 |          0 |          7 |         57 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\views\widgets\seleted_tags_display.dart                                 | Dart            |         30 |          0 |          3 |         33 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\flutter\generated_plugin_registrant.cc                                | C++             |         11 |          4 |          5 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\flutter\generated_plugin_registrant.h                                 | C++             |          5 |          5 |          6 |         16 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\main.cc                                                               | C++             |          5 |          0 |          2 |          7 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\my_application.cc                                                     | C++             |         74 |         11 |         20 |        105 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\linux\my_application.h                                                      | C++             |          7 |          7 |          5 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Flutter\GeneratedPluginRegistrant.swift                               | Swift           |         12 |          3 |          4 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\RunnerTests\RunnerTests.swift                                         | Swift           |          7 |          2 |          4 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\AppDelegate.swift                                              | Swift           |          8 |          0 |          2 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json               | JSON            |         68 |          0 |          1 |         69 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\Base.lproj\MainMenu.xib                                        | XML             |        343 |          0 |          1 |        344 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\macos\Runner\MainFlutterWindow.swift                                        | Swift           |         12 |          0 |          4 |         16 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\pubspec.yaml                                                                | YAML            |         40 |         56 |         16 |        112 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\web\index.html                                                              | HTML            |         38 |         16 |          6 |         60 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\web\manifest.json                                                           | JSON            |         35 |          0 |          1 |         36 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\flutter\generated_plugin_registrant.cc                              | C++             |          9 |          4 |          5 |         18 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\flutter\generated_plugin_registrant.h                               | C++             |          5 |          5 |          6 |         16 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\flutter_window.cpp                                           | C++             |         49 |          7 |         16 |         72 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\flutter_window.h                                             | C++             |         20 |          5 |          9 |         34 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\main.cpp                                                     | C++             |         30 |          4 |         10 |         44 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\resource.h                                                   | C++             |          9 |          6 |          2 |         17 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\utils.cpp                                                    | C++             |         54 |          2 |         10 |         66 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\utils.h                                                      | C++             |          8 |          6 |          6 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\windows\runner\win32_window.cpp                                             | C++             |        210 |         24 |         55 |        289 |
